ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0090671	telomerase RNA localization to Cajal body	17/4813	19/18614	9.89E-09	6.71E+00	1.41E-07	CCT4/DKC1/NHP2/CCT3/NAF1/CCT5/EXOSC10/CCT7/TCP1/RUVBL2/RUVBL1/NOP10/CCT8/PARN/CCT2/CCT6A/WRAP53	17
BP	GO:0090672	telomerase RNA localization	17/4813	19/18614	9.89E-09	6.71E+00	1.41E-07	CCT4/DKC1/NHP2/CCT3/NAF1/CCT5/EXOSC10/CCT7/TCP1/RUVBL2/RUVBL1/NOP10/CCT8/PARN/CCT2/CCT6A/WRAP53	17
BP	GO:0090685	RNA localization to nucleus	17/4813	19/18614	9.89E-09	6.71E+00	1.41E-07	CCT4/DKC1/NHP2/CCT3/NAF1/CCT5/EXOSC10/CCT7/TCP1/RUVBL2/RUVBL1/NOP10/CCT8/PARN/CCT2/CCT6A/WRAP53	17
BP	GO:0072384	organelle transport along microtubule	49/4813	91/18614	1.17E-08	6.64E+00	1.65E-07	HIF1A/KIF1C/KIF3B/SUN1/AP3M1/KIFAP3/SNAPIN/AP3S1/RHOT1/PAFAH1B1/TMEM201/ACTR10/CLN3/TUBA1A/AP3D1/DYNC1H1/MAP1S/HDAC6/MAP2/AP3M2/RAB1A/BLOC1S4/RAB6A/SUN2/AP3B1/PEX14/UCHL1/COPG1/MAP1B/LRPPRC/COPG2/KIF5B/OPA1/BICD2/RHOT2/SYNE2/BLOC1S2/CDC42/FYCO1/LAMP1/ARMCX3/KIF3A/HTT/HSBP1/KIF13A/DYNC1I1/SPAST/BICD1/NDE1	49
BP	GO:0006739	NADP metabolic process	29/4813	43/18614	1.25E-08	6.62E+00	1.76E-07	RPE/NNT/PGLS/MDH1/TP53I3/PGAM1/MLST8/PGD/IDH2/DCXR/NADK2/TIGAR/SHPK/RPIA/PRPS2/NQO1/G6PD/DERA/MTOR/TALDO1/ME2/IDH1/TKT/NADK/ME1/H6PD/PC/NUDT12/RPTOR	29
BP	GO:0072329	monocarboxylic acid catabolic process	64/4813	131/18614	1.25E-08	6.62E+00	1.76E-07	AKR1D1/LONP2/IDS/PEX13/PCK2/ACOX3/NUDT19/GCDH/PGD/HSD17B4/ACAT2/ECH1/DCXR/ECHS1/ILVBL/ACAA1/ABCD3/ACAT1/ABCD1/SLC27A4/ACAD11/XYLB/FAH/CRYL1/LPIN1/PEX5/CRAT/CPT1A/HADHB/HEXB/SLC25A17/SLC16A3/IVD/TYSND1/ETFA/ACADM/ACADVL/ECHDC1/HADH/SCP2/HSD17B10/HADHA/AKT1/ECI2/DECR1/AKT2/ACAA2/AKR1A1/CPT2/ETFB/BDH2/ETFDH/SORD/ECI1/SLC16A1/ACOX1/PLA2G15/DECR2/HEXA/MCAT/HACL1/CROT/ACOT8/EHHADH	64
BP	GO:0006399	tRNA metabolic process	86/4813	193/18614	1.26E-08	6.61E+00	1.77E-07	FTSJ1/CARS2/TRNT1/TRMT1/PUS7/TRMT11/TSEN34/EARS2/NSUN2/TRMT10C/ELP3/TRUB1/OSGEP/FARSB/NAT10/POP4/RARS2/IARS2/DICER1/GTF3C3/AARSD1/PUS1/QTRT1/EXOSC2/OSGEPL1/TRMT2A/EXOSC8/LAGE3/POP7/EXOSC7/THUMPD3/GATC/EXOSC10/RPP30/DTD1/TSEN15/FARSA/YARS2/TRMT5/ELP2/WDR6/ELAC2/TRMT112/HSD17B10/GRSF1/FAM98A/LCMT2/TRMT61A/SSB/GTF3C2/DDX1/ELP6/TP53RK/LRRC47/CDK5RAP1/NARS2/TRMT6/LARS2/DARS2/POP1/DUS2/RTCB/THG1L/SARS2/AARS2/TRMT1L/FAM98B/GTF3C4/LSM6/GTF3C5/TARS2/THADA/TPRKB/POLR2L/RPP40/GTF3C1/EXOSC3/THUMPD1/CDKAL1/GATB/YRDC/METTL1/TRPT1/MOCS3/EXOSC9/HARS2	86
BP	GO:0006635	fatty acid beta-oxidation	43/4813	76/18614	1.27E-08	6.61E+00	1.78E-07	LONP2/ACOX3/GCDH/HSD17B4/ACAT2/ECH1/ECHS1/ACAA1/ABCD3/ACAT1/ABCD1/ACAD11/PEX5/CRAT/CPT1A/HADHB/SLC25A17/IVD/TYSND1/ETFA/ACADM/ACADVL/ECHDC1/HADH/SCP2/HSD17B10/HADHA/AKT1/ECI2/DECR1/AKT2/ACAA2/CPT2/ETFB/BDH2/ETFDH/ECI1/ACOX1/DECR2/MCAT/CROT/ACOT8/EHHADH	43
BP	GO:0051261	protein depolymerization	58/4813	115/18614	1.37E-08	6.58E+00	1.92E-07	KATNB1/CKAP2/ADD1/TPX2/MICAL1/GAK/CFL1/CAPZB/MTPN/CKAP5/MAP1S/ADD3/SYNJ1/HDAC6/CLASP2/NES/MID1/CAMSAP2/GSN/ARHGEF2/CLASP1/SVIL/CAPZA1/TAOK1/SPTBN4/SPTBN1/MICAL2/VPS4B/RDX/SPTAN1/TWF1/TWF2/MAP1A/PPP1R9B/TRIOBP/HSPA8/MAP1B/KIF2A/FLII/SH3GL1/ASPH/CFL2/EPS8/LIMA1/VPS4A/WDR1/SWAP70/CAPZA2/STMN2/DSTN/STMN1/SH3BP1/TMOD3/SPTBN2/KIF2C/WDR47/LMOD1/SPAST	58
BP	GO:0034249	negative regulation of amide metabolic process	123/4813	304/18614	1.49E-08	6.54E+00	2.08E-07	ZFP36L1/CNOT4/IGFBP5/AGO3/GRB7/DCP1B/EXOSC5/EIF4G1/PUS7/ROCK1/RTN3/EIF2AK4/CNOT10/RBM4/TSC1/SAMD4B/FXR2/PRNP/FTO/DAPK3/TRIM3/ROCK2/CAPRIN1/EIF2AK2/PRKAA1/EIF2S1/IGF2BP1/CIRBP/DIS3/PNPT1/PURA/RTN1/XRN1/IGF2BP3/DHFR/EXOSC2/RC3H2/NT5C3B/EXOSC8/PCIF1/CPEB4/POLR2G/SHMT1/LSM1/EIF4EBP1/EXOSC7/CNOT7/IGF2BP2/MEX3D/CNOT2/PUM1/DIS3L2/EIF3E/YTHDF3/LARP1/HNRNPD/DHX36/EIF4EBP2/ZFP36L2/PIN1/MRPL13/TNKS1BP1/MOV10/AGO2/CSDE1/PARN/UNK/POLR2D/METTL14/GIGYF2/ILF3/SYNCRIP/TARDBP/SRP9/CALR/GAPDH/DDX6/RPS3/RPL13A/RTN4/DCP1A/SHMT2/UPF1/PDE12/FXR1/DCPS/ENC1/EIF4E2/EIF4A3/CNOT1/TPR/BIN1/CNOT3/METTL3/PAIP1/EIF4E/ORMDL2/EIF6/YBX1/FMR1/HNRNPU/DHX9/TNRC6B/KHSRP/NCL/TIA1/TYMS/YTHDF2/PATL1/MALSU1/LSM14A/CELF1/CNOT11/ORMDL3/EXOSC3/MLH1/YTHDF1/EIF4ENIF1/EXOSC9/SPHK1/DAPK1/SAMD4A/PAN2	123
BP	GO:0007042	lysosomal lumen acidification	18/4813	21/18614	1.50E-08	6.54E+00	2.08E-07	TMEM199/TMEM9/SNAPIN/ATP6V0C/CLN3/TMEM106B/ATP6AP2/ATP6V1F/ATP6AP1/ATP6V1D/CLN6/ATP6V1A/PPT1/CLN5/ATP6V1H/ATP6V0A1/GRN/CCDC115	18
BP	GO:0097193	intrinsic apoptotic signaling pathway	122/4813	301/18614	1.51E-08	6.54E+00	2.09E-07	HIF1A/CASP4/PDK2/MLLT11/BAD/AIFM1/TXNDC12/BCAP31/FIS1/TPT1/NOC2L/HELLS/DDX5/PERP/CASP6/NCK1/MYBBP1A/HDAC1/BAX/SNW1/CASP2/BCL2L1/TP53BP2/MAPK7/QRICH1/DIABLO/SIRT1/ARL6IP5/NOL3/CASP3/ARMC10/IVNS1ABP/IFI16/NBN/ARHGEF2/SRC/CUL5/RRP8/DNAJC10/RPS27L/CD44/DNM1L/VDAC2/GPX1/HSPB1/CUL1/TMBIM6/MIF/CUL2/PML/RPS7/TRIM32/HINT1/USP47/NDUFS3/BAG6/YBX3/BID/TRAP1/PDCD10/PPIA/HMOX1/RPL11/ATM/NDUFA13/PPM1F/APAF1/AKT1/STK24/RPS3/SFPQ/DNAJA1/HNRNPK/CUL3/CUL4A/HYOU1/FIGNL1/WFS1/PARK7/PRKRA/P4HB/ENO1/CYCS/UBQLN1/BCLAF1/NONO/USP15/SOD2/MSH2/HTRA2/OPA1/ERP29/CAV1/RPL26/PPIF/TNFRSF10B/PRKDC/SYVN1/PLAUR/PARP1/KDM1A/EPHA2/MSH6/CCAR2/SFN/SOD1/TMEM109/PTPN1/POLB/HRAS/SERINC3/PTTG1IP/MLH1/ITPR1/BAK1/ZNF622/BNIP3/TRIAP1/BECN1/CDKN1A/PRKCD/BAG5	122
BP	GO:0006165	nucleoside diphosphate phosphorylation	53/4813	102/18614	1.54E-08	6.53E+00	2.12E-07	HIF1A/SLC4A4/PRKAG2/PKM/NME4/PGK1/FOXK1/PRKAG1/OGDH/PFKL/HK2/PGAM1/MLST8/PRKAA1/ENO2/TIGAR/NME3/AK4/FOXK2/ZBTB7A/NME2P1/PGM1/TREX1/NME1/GIT1/NME7/GALK1/ADPGK/LDHA/ALDOC/GPI/MTOR/HK1/PFKP/GAPDH/PFKM/ALDOA/TPI1/STAT3/NCOR1/ENO1/NME2/DHTKD1/ARL2/CMPK1/OGT/EIF6/AK1/APP/BPGM/AK5/ENO3/RPTOR	53
BP	GO:0016054	organic acid catabolic process	105/4813	250/18614	1.68E-08	6.50E+00	2.31E-07	AKR1D1/LONP2/IDS/PEX13/PCK2/CBS/ACOX3/ALDH4A1/AASDHPPT/HIBCH/NUDT19/SDSL/NAGK/GCDH/PGD/HSD17B4/BCKDHB/ACAT2/ECH1/DDAH2/DCXR/ATP2B4/ECHS1/ILVBL/ACAA1/BCAT2/ABCD3/ACAT1/ALDH6A1/ABCD1/SLC27A4/MCCC1/ACAD11/GSTZ1/XYLB/FAH/CRYL1/LPIN1/PEX5/SHMT1/MTRR/CRAT/GPT2/CPT1A/QDPR/ENOSF1/DBT/AMDHD2/HADHB/DLD/GOT1/HEXB/SLC25A17/GOT2/SLC16A3/BLMH/IVD/TYSND1/ETFA/ACADSB/ACADM/ACADVL/ECHDC1/HADH/OAT/SCP2/HSD17B10/GNPDA2/HADHA/AKT1/ECI2/HIBADH/DECR1/SHMT2/DLST/AKT2/ACAA2/AKR1A1/BCKDHA/CPT2/MCCC2/ETFB/BDH2/AASS/ETFDH/MPST/SORD/ECI1/SLC16A1/HMGCL/TST/GLS/DDAH1/ACOX1/PLA2G15/GNPDA1/DECR2/HEXA/MCAT/SCLY/HACL1/CROT/ACOT8/EHHADH/ACSF3	105
BP	GO:0046395	carboxylic acid catabolic process	105/4813	250/18614	1.68E-08	6.50E+00	2.31E-07	AKR1D1/LONP2/IDS/PEX13/PCK2/CBS/ACOX3/ALDH4A1/AASDHPPT/HIBCH/NUDT19/SDSL/NAGK/GCDH/PGD/HSD17B4/BCKDHB/ACAT2/ECH1/DDAH2/DCXR/ATP2B4/ECHS1/ILVBL/ACAA1/BCAT2/ABCD3/ACAT1/ALDH6A1/ABCD1/SLC27A4/MCCC1/ACAD11/GSTZ1/XYLB/FAH/CRYL1/LPIN1/PEX5/SHMT1/MTRR/CRAT/GPT2/CPT1A/QDPR/ENOSF1/DBT/AMDHD2/HADHB/DLD/GOT1/HEXB/SLC25A17/GOT2/SLC16A3/BLMH/IVD/TYSND1/ETFA/ACADSB/ACADM/ACADVL/ECHDC1/HADH/OAT/SCP2/HSD17B10/GNPDA2/HADHA/AKT1/ECI2/HIBADH/DECR1/SHMT2/DLST/AKT2/ACAA2/AKR1A1/BCKDHA/CPT2/MCCC2/ETFB/BDH2/AASS/ETFDH/MPST/SORD/ECI1/SLC16A1/HMGCL/TST/GLS/DDAH1/ACOX1/PLA2G15/GNPDA1/DECR2/HEXA/MCAT/SCLY/HACL1/CROT/ACOT8/EHHADH/ACSF3	105
BP	GO:1902905	positive regulation of supramolecular fiber organization	78/4813	171/18614	1.69E-08	6.50E+00	2.32E-07	CDKN1B/BAG4/KATNB1/USP8/VASP/ARHGEF10/TSC1/RB1/SNX9/MAPRE1/ROCK2/CTTN/MLST8/MET/WASF2/NCK1/CKAP5/FERMT2/AKAP9/COLGALT1/SFRP1/SDC4/S100A10/CCDC88A/GSN/NF2/GIT1/ARF6/CLASP1/SYNPO/SLAIN2/GPX1/NCKAP1/NRP1/CD47/BRK1/SMAD3/BAIAP2/MTOR/PXN/PFN1/PPM1F/ARPC2/MAP1B/RHOC/RPS3/FHOD1/TNXB/RHOA/PFN2/CFL2/DCTN1/PAK1/FCHSD2/WDR1/NUMA1/BIN1/SWAP70/GRB2/ARL2/LIMCH1/DLG1/DRG1/ABI2/SORBS3/APP/STMN2/CYFIP1/CDC42/DSTN/CLIP1/TPM1/RICTOR/PDE4DIP/LMOD1/FER/SPAST/BAIAP2L1	78
BP	GO:2000278	regulation of DNA biosynthetic process	60/4813	121/18614	1.75E-08	6.48E+00	2.39E-07	SH2B1/TEN1/MAP3K4/CCT4/MAPK3/GINS1/GREM1/DKC1/PRKD2/CHTF18/NAT10/HSP90AA1/RFC2/PARP4/CCT3/XRN1/AURKB/GFER/NVL/POT1/NAF1/PDGFRB/RFC4/TERF2/SRC/CCT5/EXOSC10/CTNNB1/SMG6/HNRNPD/CCT7/TCP1/PTGES3/GINS4/HSP90AB1/CCT8/PARN/CCT2/RFC5/ATM/PCNA/CCT6A/MAPK1/PNKP/DNAJC2/XRCC5/NEK7/HNRNPU/FGF2/HNRNPA2B1/GINS3/RFC3/ATR/WRAP53/GINS2/KAT7/TFDP1/MEN1/CHEK1/CDKN1A	60
BP	GO:0051205	protein insertion into membrane	39/4813	67/18614	2.05E-08	6.42E+00	2.79E-07	MTX2/AGK/OXA1L/TIMM9/HSP90AA1/EMC2/GET4/BAX/MTX1/TOMM40/TOMM22/UBL4A/BCS1L/EMC1/TRAM2/EMC9/SEC61A1/BAG6/NMT1/PDCD5/TIMM8A/NDUFA13/SAMM50/TIMM13/TIMM8B/EGFR/HSPA4/SGTA/ROMO1/TRAM1/MMGT1/CCDC47/TIMM10/EMC7/EMC10/EMC8/EMC3/EMC4/EMC6	39
BP	GO:2001234	negative regulation of apoptotic signaling pathway	99/4813	233/18614	2.12E-08	6.40E+00	2.88E-07	HIF1A/PSMD10/RAF1/TXNDC12/RB1/TPT1/NOC2L/HELLS/CTTN/GHITM/CTNNA1/HDAC1/GSTP1/BAX/BCL2L1/MAPK7/TMBIM1/THBS1/ZC3HC1/SIRT1/NOL3/SERPINE1/ARMC10/RELA/IVNS1ABP/ARHGEF2/SRC/ITPRIP/CD44/CTNNB1/VDAC2/BIRC6/HMGB2/GPX1/HSPB1/NRP1/TMBIM6/PRDX2/MIF/AATF/TRIM32/USP47/NDUFS3/YBX3/BID/TRAP1/RIPK1/PPIA/HMOX1/CSNK2A2/NDUFA13/ITGAV/AKT1/MAZ/LGALS3/DNAJA1/HYOU1/FIGNL1/LMNA/ACAA2/WFS1/GSK3B/PARK7/ENO1/SLC25A5/SLC25A4/PSME3/PEA15/PIH1D1/NONO/SOD2/GCLC/SLC35F6/HTRA2/NLE1/OPA1/SLC25A6/PPIF/GCLM/SYVN1/PLAUR/GNAI2/KDM1A/CCAR2/YAP1/PTPN1/PHIP/ZMYND11/GNAI3/ICAM1/ITGA6/HTT/PTTG1IP/FXN/BAK1/COL2A1/TRIAP1/FAIM/BAG5	99
BP	GO:0000380	alternative mRNA splicing, via spliceosome	41/4813	72/18614	2.15E-08	6.40E+00	2.90E-07	RBM4/FXR2/RBM15/SRSF1/SAP18/DDX5/KHDRBS3/RBM15B/NCBP2/CDK13/ZBTB7A/KHDRBS1/RNPS1/PQBP1/RBM8A/THRAP3/DDX17/SFPQ/HNRNPM/PUF60/YTHDC1/FXR1/HNRNPL/NCBP1/PTBP1/RBM7/STRAP/RBM25/SMU1/HNRNPA0/FMR1/HNRNPU/RBM17/DHX9/TRA2B/KDM1A/TIA1/SRSF6/CELF1/WTAP/RSRC1	41
BP	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	20/4813	25/18614	2.26E-08	6.38E+00	3.03E-07	BOP1/FTSJ3/EXOSC2/EXOSC8/UTP20/NOP9/EXOSC7/EXOSC10/ERI3/PES1/RRS1/NOL9/WDR12/RPS21/RPP40/URB1/EXOSC3/ERI1/EXOSC9/RCL1	20
BP	GO:0031468	nuclear membrane reassembly	20/4813	25/18614	2.26E-08	6.38E+00	3.03E-07	REEP4/CHMP5/REEP3/CHMP6/CHMP7/CHMP2B/CHMP4B/UBE2I/VPS4B/CHMP1A/BANF1/NSFL1C/CHMP4A/VPS4A/RCC1/ANKLE2/SPAST/SIRT2/CHMP2A/CHMP3	20
BP	GO:0071709	membrane assembly	36/4813	60/18614	2.37E-08	6.36E+00	3.17E-07	REEP4/FLOT1/EPHB2/PTEN/CHMP5/PACSIN2/GAK/HDAC3/REEP3/CAV2/CHMP6/S100A10/CHMP7/CHMP2B/PICALM/CHMP4B/UBE2I/SPTBN1/VPS4B/CHMP1A/BANF1/CDH2/NSFL1C/CHMP4A/VPS4A/STX4/RCC1/ANKLE2/CAV1/RFTN1/UGCG/PTPRD/SPAST/SIRT2/CHMP2A/CHMP3	36
BP	GO:1903076	regulation of protein localization to plasma membrane	53/4813	103/18614	2.37E-08	6.36E+00	3.17E-07	TGFB1/ACSL3/HECTD1/EPHB2/APPL1/PTPN9/PRNP/CLN3/ITGB1/RER1/PPFIA1/ATP2B4/STX8/MMP14/BCL2L1/TMBIM1/DAB2/ATP2C1/STX7/PIK3R2/ARF6/LYPLA1/AP2M1/PICALM/NUMB/CSK/SPTBN1/LRP1/CLTC/PGRMC1/PPP1R9B/AKT1/PRKCI/VTI1B/ITGA3/EGFR/LGALS3/CDK5/KIF5B/RANGRF/VPS4A/GBP1/STX4/DLG1/RHOG/EPHA2/SQSTM1/PLS1/ACTB/EZR/ZDHHC5/GRIPAP1/TMEM59	53
BP	GO:0000469	cleavage involved in rRNA processing	22/4813	29/18614	2.49E-08	6.34E+00	3.30E-07	BOP1/NHP2/EXOSC2/EXOSC8/UTP20/NOP9/EXOSC7/BMS1/EXOSC10/ERI3/TBL3/RRS1/NOB1/NOL9/TSR1/RPS21/RPP40/EXOSC3/ERI1/SDE2/EXOSC9/RCL1	22
BP	GO:0019076	viral release from host cell	22/4813	29/18614	2.49E-08	6.34E+00	3.30E-07	PPID/TSG101/CHMP5/IST1/CAV2/CHMP6/CHMP7/CHMP2B/CHMP4B/TRIM25/VPS4B/CHMP1A/VAPA/PPIA/DDB1/CHMP4A/RAB7A/VPS4A/PC/CHMP2A/CHMP3/ARL8B	22
BP	GO:0035891	exit from host cell	22/4813	29/18614	2.49E-08	6.34E+00	3.30E-07	PPID/TSG101/CHMP5/IST1/CAV2/CHMP6/CHMP7/CHMP2B/CHMP4B/TRIM25/VPS4B/CHMP1A/VAPA/PPIA/DDB1/CHMP4A/RAB7A/VPS4A/PC/CHMP2A/CHMP3/ARL8B	22
BP	GO:0051017	actin filament bundle assembly	74/4813	161/18614	2.63E-08	6.32E+00	3.47E-07	BAG4/PDLIM1/CALD1/PHLDB2/CORO1B/ACTG1/ROCK1/ARAP1/FLNA/ARHGEF10/TSC1/MYO1B/ADD1/MICAL1/ROCK2/MET/ACTN1/WASF2/ARHGEF18/PPFIA1/FERMT2/LIMD2/CLASP2/SFRP1/SDC4/S100A10/CCDC88A/PIK3R2/NF2/CLASP1/SRC/INPP5K/SYNPO/NRP1/CD47/SMAD3/BAIAP2/RDX/MTOR/PXN/PFN1/PPM1F/PAWR/ITGB5/RHOC/FHOD1/CORO2B/HSP90B1/CUL3/RHOA/PLS3/PFN2/EPS8/LIMA1/PAK1/SWAP70/FSCN1/LIMCH1/PAK2/ZYX/TJP1/SORBS3/DPYSL3/CDC42/STMN1/PLS1/TPM1/EZR/MARCKS/FMN2/SPIRE1/SLC9A1/BAIAP2L1/FAM171A1	74
BP	GO:0017148	negative regulation of translation	113/4813	276/18614	2.65E-08	6.32E+00	3.49E-07	ZFP36L1/CNOT4/IGFBP5/AGO3/GRB7/DCP1B/EXOSC5/EIF4G1/PUS7/ROCK1/EIF2AK4/CNOT10/RBM4/TSC1/SAMD4B/FXR2/FTO/DAPK3/TRIM3/ROCK2/CAPRIN1/EIF2AK2/EIF2S1/IGF2BP1/CIRBP/DIS3/PNPT1/PURA/XRN1/IGF2BP3/DHFR/EXOSC2/RC3H2/NT5C3B/EXOSC8/PCIF1/CPEB4/POLR2G/SHMT1/LSM1/EIF4EBP1/EXOSC7/CNOT7/IGF2BP2/MEX3D/CNOT2/PUM1/DIS3L2/EIF3E/YTHDF3/LARP1/HNRNPD/DHX36/EIF4EBP2/ZFP36L2/MRPL13/TNKS1BP1/MOV10/AGO2/CSDE1/PARN/UNK/POLR2D/METTL14/GIGYF2/ILF3/SYNCRIP/TARDBP/SRP9/CALR/GAPDH/DDX6/RPS3/RPL13A/DCP1A/SHMT2/UPF1/PDE12/FXR1/DCPS/ENC1/EIF4E2/EIF4A3/CNOT1/TPR/CNOT3/METTL3/PAIP1/EIF4E/EIF6/YBX1/FMR1/HNRNPU/DHX9/TNRC6B/KHSRP/NCL/TIA1/TYMS/YTHDF2/PATL1/MALSU1/LSM14A/CELF1/CNOT11/EXOSC3/MLH1/YTHDF1/EIF4ENIF1/EXOSC9/DAPK1/SAMD4A/PAN2	113
BP	GO:0035966	response to topologically incorrect protein	75/4813	164/18614	2.77E-08	6.30E+00	3.64E-07	HSPB7/TOR1A/DDRGK1/DNAJB2/ERLEC1/COPS5/AMFR/MFN2/HSPA14/HSP90AA1/NGLY1/EIF2AK2/HSPA2/STUB1/EIF2S1/NCK1/BAX/CDK5RAP3/HSF1/HDAC6/QRICH1/THBS1/TMED2/ATXN3/SERPINH1/DNAJB4/ERP44/DNAJC10/VCP/FAF2/HSPB1/TMEM33/STT3B/TMBIM6/SDF2L1/TBL2/MANF/UGGT2/HSPA4L/UFL1/HSPB8/BAG6/HSP90AB1/DERL1/BAG3/DAXX/HSPA8/HSPH1/DNAJA1/HSPA4/UGGT1/CUL3/WFS1/HSPA5/DNAJB1/TRAM1/DNAJC3/VAPB/DNAJB12/AUP1/OPTN/HSPD1/HSPA9/STC2/TOR1B/HSPE1/RNF126/OS9/UBXN4/PTPN1/CCND1/EDEM3/HSPA13/BAK1/RHBDD2	75
BP	GO:1902904	negative regulation of supramolecular fiber organization	76/4813	167/18614	2.90E-08	6.28E+00	3.80E-07	KATNB1/PHLDB2/CORO1B/CKAP2/ARAP1/ADD1/TPX2/CRYAB/MAPRE1/PFDN5/MET/PFDN1/WASF2/ARHGEF18/CAPZB/MTPN/PPFIA1/CTNNA2/ADD3/HDAC6/CLASP2/HIP1R/MAP2/MID1/CAMSAP2/GSN/TMSB10/ARHGEF2/CLASP1/PFDN2/INPP5K/TMSB4X/SNCA/SVIL/CAPZA1/TAOK1/ARPIN/VBP1/SPTBN4/SPTBN1/ARHGEF7/RDX/SPTAN1/TWF1/TWF2/PFN1/TRIOBP/HSPA8/MAP1B/CORO2B/FLII/FKBP4/PFN2/TBCD/SMAD4/PFDN4/MYADM/PFDN6/EPS8/LIMA1/SWAP70/PAK2/ARFGEF1/CAPZA2/TJP1/STMN2/SSH1/STMN1/TMOD3/LDLR/SPTBN2/WDR47/LMOD1/KANK1/PRKCD/CORO1A	76
BP	GO:0000302	response to reactive oxygen species	89/4813	205/18614	3.22E-08	6.24E+00	4.20E-07	HIF1A/PDK2/SIGMAR1/BAD/MAPK3/AIFM1/FOSL1/STK26/CRYAB/AXL/CCS/FOXP1/PRKAA1/MET/CHUK/SDC1/GSTP1/ECT2/DHFR/HSF1/TXNIP/HDAC6/MAPK7/SLC8A1/HYAL2/PDGFRB/TXN/TXNRD2/SIRT1/TREX1/IMPACT/CASP3/RELA/SRC/NQO1/PRDX5/HBA1/GPX1/HDAC2/PYCR1/STAT6/UBE3A/PRDX2/ADAM9/PRDX3/TRAP1/CRK/RIPK1/PDCD10/HMOX1/APEX1/PXN/PCNA/PAWR/AKT1/STK24/RPS3/MAPK1/EGFR/ROMO1/STAT1/PRDX1/PARK7/PTPRK/SOD2/CAPN2/PPIF/CAT/CDK1/NUDT15/MMP2/ANXA1/DDR2/SOD1/AKR1C3/TPM1/PKD2/FXN/PPP2CB/BAK1/EZH2/FER/COL1A1/BNIP3/ZNF277/BECN1/SPHK1/JUN/PRKCD	89
BP	GO:0043414	macromolecule methylation	127/4813	320/18614	3.37E-08	6.22E+00	4.38E-07	FTSJ1/SETD3/PRMT7/TRMT1/CTCF/FBL/MEPCE/TRMT11/CMTR2/NSUN2/TRMT10C/ICMT/RTF1/PAF1/NNMT/RBM15/SETDB1/ETF1/ZC3H13/ATRX/HELLS/N6AMT1/FTSJ3/CTR9/SNW1/SETD7/IWS1/RBM15B/MYD88/EHMT1/BOD1/TRMT2A/RNMT/MCRS1/EMG1/FBLL1/ASH1L/PCIF1/NSUN4/SIRT1/WDR82/CLNS1A/MTRR/SMYD5/SNRPE/THUMPD3/METTL13/TFB1M/SMYD3/RRP8/CHTOP/CARM1/PAXBP1/RAB6A/CTNNB1/MBD2/TRIM28/SUZ12/PRMT9/SMARCB1/SNRPD3/TRMT5/SNRPD1/ARMT1/CBLL1/PCMT1/LCMT1/RIF1/EHMT2/LARP7/WDR6/WDR5/RBBP5/TRMT112/DIMT1/NFYC/METTL14/HSD17B10/FAM98A/GSPT1/NELFA/NTMT1/LCMT2/TRMT61A/PRMT5/RAB3D/LMNA/PRMT1/SMAD4/GATAD2A/PIH1D1/HCFC1/ASH2L/METTL9/WDR77/TRMT6/SNRPD2/MTA2/PRMT3/TFB2M/OGT/NELFE/METTL3/PRDM6/SMYD2/PARP1/MPHOSPH8/KDM1A/TRMT1L/SNRPF/FAM98B/DNMT1/RNF20/BOD1L1/SMARCA5/NOP2/THADA/DPY30/PRDM2/NDUFAF7/EZH2/MORC1/MEN1/METTL1/CMTR1/WTAP/MBD3	127
BP	GO:0019081	viral translation	16/4813	18/18614	3.44E-08	6.21E+00	4.45E-07	EIF2AK4/EIF3L/DENR/EIF2D/PCBP2/MCTS1/EIF3F/CSDE1/EIF3D/EIF3G/SSB/EIF3A/PTBP1/EIF3B/ATG5/DHX9	16
BP	GO:1904872	regulation of telomerase RNA localization to Cajal body	16/4813	18/18614	3.44E-08	6.21E+00	4.45E-07	CCT4/DKC1/NHP2/CCT3/NAF1/CCT5/EXOSC10/CCT7/TCP1/RUVBL2/RUVBL1/NOP10/CCT8/PARN/CCT2/CCT6A	16
BP	GO:0044000	movement in host	82/4813	185/18614	3.63E-08	6.19E+00	4.69E-07	EFNB2/CD81/PPID/TFRC/TSG101/AXL/KPNA3/CHMP5/ITGB1/ITGB6/IST1/EPS15/ITCH/TRIM21/TRIM5/SMPD1/CAV2/HYAL2/CHMP6/CHMP7/GSN/PVR/CTSB/FUCA2/SNX3/CHMP2B/PTX3/SRC/CHMP4B/EXOC2/TRIM25/NRP1/DYNLT1/VPS4B/SCARB2/TRIM26/LGALS1/CHMP1A/RPSA/VAPA/CBL/SLC1A5/SLC3A2/PPIA/NUP153/EXOC7/ITGAV/VPS18/CTSL/ITGB5/CXCL8/EGFR/DDB1/BSG/P4HB/DAG1/CHMP4A/RAB7A/ITGA5/VPS4A/IDE/SLC7A1/GAS6/CAV1/NPC1/CDK1/EPHA2/CD55/SLC20A2/LAMP1/ITGA2/LDLR/TRIM59/ICAM1/CD46/PC/XPR1/ANPEP/CHMP2A/CHMP3/TPCN1/ARL8B	82
